@PREFAB_IMAGE
13,48,16,
32,64,48,
24,80,32,
31,48,48,
23,64,32,
33,80,48,
30,32,48,
22,48,32,
21,32,32,
12,32,16,
@PREFAB_TILE
13,13,1,
24,24,0,
23,23,0,
33,33,0,
32,32,0,
31,31,0,
22,22,0,
30,30,0,
21,21,0,
12,12,0,
@MAP
20,20,
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
13,24,24,23,24,24,24,24,33,24,33,33,24,24,24,24,24,24,24,13,
13,24,33,33,33,24,33,33,33,24,24,24,33,24,33,24,33,24,24,13,
13,24,24,33,33,24,24,33,24,33,24,24,24,24,32,24,24,24,24,13,
13,24,24,33,24,24,32,24,24,24,33,33,33,31,22,30,24,33,24,13,
13,24,24,33,24,24,21,30,33,33,24,24,33,24,23,24,24,24,24,13,
13,24,33,33,24,24,24,24,24,33,24,24,24,24,24,33,33,33,24,13,
13,33,24,33,33,24,24,32,24,33,33,24,24,24,24,24,33,33,33,13,
13,33,24,33,24,24,31,12,30,24,24,24,24,33,33,24,33,24,31,13,
13,33,24,24,33,33,21,22,30,33,33,33,24,33,24,33,24,33,33,13,
13,33,24,33,33,24,24,23,33,24,24,24,33,24,24,24,33,33,24,13,
13,24,24,33,24,24,24,24,24,33,24,24,24,24,24,24,24,24,33,13,
13,30,24,24,24,24,33,24,33,24,33,33,24,24,31,30,24,24,24,13,
13,24,24,24,33,24,24,24,33,24,24,24,24,24,24,30,24,24,24,13,
13,24,33,24,24,24,24,24,33,33,33,33,33,33,24,24,24,33,24,13,
13,24,24,24,24,23,30,24,24,24,24,24,33,24,24,24,33,24,24,13,
13,24,24,24,24,33,24,24,24,24,24,24,33,24,24,33,24,24,24,13,
13,24,33,33,33,24,24,33,24,33,33,24,33,33,33,33,33,24,24,13,
13,24,33,24,24,24,24,24,33,24,33,24,24,24,32,24,24,24,24,13,
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
